Sales_20_Target_Category,Sales_20_Target_Order_20_Date,Sales_20_Target_Segment,Sales_20_Target_Sales_20_Target,Sales_20_Target_Cat_2e_seg_20_ID
Furniture,06 January 2019,Home Office,"2,316",2019_1_6_Furniture_Home Office
Furniture,07 January 2019,Consumer,81,2019_1_7_Furniture_Consumer
Furniture,10 January 2019,Corporate,47,2019_1_10_Furniture_Corporate
Furniture,11 January 2019,Consumer,9,2019_1_11_Furniture_Consumer
Furniture,13 January 2019,Consumer,792,2019_1_13_Furniture_Consumer
Furniture,14 January 2019,Corporate,66,2019_1_14_Furniture_Corporate
Furniture,16 January 2019,Consumer,109,2019_1_16_Furniture_Consumer
Furniture,19 January 2019,Consumer,158,2019_1_19_Furniture_Consumer
Furniture,20 January 2019,Consumer,"1,244",2019_1_20_Furniture_Consumer
Furniture,21 January 2019,Consumer,25,2019_1_21_Furniture_Consumer
Furniture,26 January 2019,Corporate,124,2019_1_26_Furniture_Corporate
Furniture,26 January 2019,Home Office,65,2019_1_26_Furniture_Home Office
Furniture,27 January 2019,Consumer,360,2019_1_27_Furniture_Consumer
Furniture,31 January 2019,Consumer,308,2019_1_31_Furniture_Consumer
Furniture,08 February 2019,Home Office,13,2019_2_8_Furniture_Home Office
Furniture,11 February 2019,Consumer,"1,535",2019_2_11_Furniture_Consumer
Furniture,12 February 2019,Consumer,113,2019_2_12_Furniture_Consumer
Furniture,18 February 2019,Consumer,22,2019_2_18_Furniture_Consumer
Furniture,20 February 2019,Corporate,19,2019_2_20_Furniture_Corporate
Furniture,01 March 2019,Consumer,"1,247",2019_3_1_Furniture_Consumer
Furniture,01 March 2019,Home Office,545,2019_3_1_Furniture_Home Office
Furniture,03 March 2019,Consumer,557,2019_3_3_Furniture_Consumer
Furniture,03 March 2019,Corporate,287,2019_3_3_Furniture_Corporate
Furniture,07 March 2019,Consumer,49,2019_3_7_Furniture_Consumer
Furniture,07 March 2019,Corporate,983,2019_3_7_Furniture_Corporate
Furniture,11 March 2019,Consumer,8,2019_3_11_Furniture_Consumer
Furniture,14 March 2019,Home Office,"1,220",2019_3_14_Furniture_Home Office
Furniture,15 March 2019,Consumer,43,2019_3_15_Furniture_Consumer
Furniture,17 March 2019,Corporate,"3,396",2019_3_17_Furniture_Corporate
Furniture,18 March 2019,Home Office,"1,536",2019_3_18_Furniture_Home Office
Furniture,19 March 2019,Corporate,22,2019_3_19_Furniture_Corporate
Furniture,21 March 2019,Consumer,216,2019_3_21_Furniture_Consumer
Furniture,22 March 2019,Corporate,314,2019_3_22_Furniture_Corporate
Furniture,24 March 2019,Consumer,37,2019_3_24_Furniture_Consumer
Furniture,25 March 2019,Consumer,341,2019_3_25_Furniture_Consumer
Furniture,28 March 2019,Consumer,"1,102",2019_3_28_Furniture_Consumer
Furniture,28 March 2019,Home Office,327,2019_3_28_Furniture_Home Office
Furniture,29 March 2019,Consumer,918,2019_3_29_Furniture_Consumer
Furniture,30 March 2019,Consumer,212,2019_3_30_Furniture_Consumer
Furniture,30 March 2019,Home Office,113,2019_3_30_Furniture_Home Office
Furniture,31 March 2019,Consumer,"1,193",2019_3_31_Furniture_Consumer
Furniture,02 April 2019,Corporate,181,2019_4_2_Furniture_Corporate
Furniture,04 April 2019,Consumer,5,2019_4_4_Furniture_Consumer
Furniture,06 April 2019,Corporate,763,2019_4_6_Furniture_Corporate
Furniture,06 April 2019,Home Office,158,2019_4_6_Furniture_Home Office
Furniture,07 April 2019,Consumer,9,2019_4_7_Furniture_Consumer
Furniture,08 April 2019,Consumer,162,2019_4_8_Furniture_Consumer
Furniture,08 April 2019,Corporate,"1,167",2019_4_8_Furniture_Corporate
Furniture,08 April 2019,Home Office,109,2019_4_8_Furniture_Home Office
Furniture,12 April 2019,Corporate,312,2019_4_12_Furniture_Corporate
Furniture,15 April 2019,Home Office,163,2019_4_15_Furniture_Home Office
Furniture,18 April 2019,Consumer,304,2019_4_18_Furniture_Consumer
Furniture,19 April 2019,Home Office,76,2019_4_19_Furniture_Home Office
Furniture,20 April 2019,Consumer,"1,326",2019_4_20_Furniture_Consumer
Furniture,23 April 2019,Home Office,614,2019_4_23_Furniture_Home Office
Furniture,25 April 2019,Home Office,"1,772",2019_4_25_Furniture_Home Office
Furniture,26 April 2019,Corporate,216,2019_4_26_Furniture_Corporate
Furniture,29 April 2019,Consumer,63,2019_4_29_Furniture_Consumer
Furniture,29 April 2019,Corporate,578,2019_4_29_Furniture_Corporate
Furniture,04 May 2019,Consumer,25,2019_5_4_Furniture_Consumer
Furniture,04 May 2019,Corporate,10,2019_5_4_Furniture_Corporate
Furniture,05 May 2019,Consumer,124,2019_5_5_Furniture_Consumer
Furniture,07 May 2019,Consumer,960,2019_5_7_Furniture_Consumer
Furniture,10 May 2019,Consumer,522,2019_5_10_Furniture_Consumer
Furniture,11 May 2019,Consumer,61,2019_5_11_Furniture_Consumer
Furniture,11 May 2019,Corporate,"1,031",2019_5_11_Furniture_Corporate
Furniture,12 May 2019,Consumer,639,2019_5_12_Furniture_Consumer
Furniture,13 May 2019,Corporate,296,2019_5_13_Furniture_Corporate
Furniture,14 May 2019,Corporate,342,2019_5_14_Furniture_Corporate
Furniture,16 May 2019,Corporate,205,2019_5_16_Furniture_Corporate
Furniture,18 May 2019,Consumer,127,2019_5_18_Furniture_Consumer
Furniture,20 May 2019,Corporate,131,2019_5_20_Furniture_Corporate
Furniture,21 May 2019,Consumer,94,2019_5_21_Furniture_Consumer
Furniture,25 May 2019,Consumer,28,2019_5_25_Furniture_Consumer
Furniture,26 May 2019,Consumer,562,2019_5_26_Furniture_Consumer
Furniture,26 May 2019,Corporate,317,2019_5_26_Furniture_Corporate
Furniture,27 May 2019,Corporate,510,2019_5_27_Furniture_Corporate
Furniture,30 May 2019,Consumer,313,2019_5_30_Furniture_Consumer
Furniture,01 June 2019,Consumer,20,2019_6_1_Furniture_Consumer
Furniture,01 June 2019,Home Office,"2,142",2019_6_1_Furniture_Home Office
Furniture,02 June 2019,Home Office,62,2019_6_2_Furniture_Home Office
Furniture,03 June 2019,Consumer,497,2019_6_3_Furniture_Consumer
Furniture,04 June 2019,Consumer,458,2019_6_4_Furniture_Consumer
Furniture,06 June 2019,Corporate,"1,091",2019_6_6_Furniture_Corporate
Furniture,07 June 2019,Consumer,237,2019_6_7_Furniture_Consumer
Furniture,08 June 2019,Consumer,615,2019_6_8_Furniture_Consumer
Furniture,08 June 2019,Corporate,158,2019_6_8_Furniture_Corporate
Furniture,09 June 2019,Consumer,"2,909",2019_6_9_Furniture_Consumer
Furniture,09 June 2019,Corporate,38,2019_6_9_Furniture_Corporate
Furniture,14 June 2019,Home Office,209,2019_6_14_Furniture_Home Office
Furniture,15 June 2019,Corporate,961,2019_6_15_Furniture_Corporate
Furniture,16 June 2019,Consumer,693,2019_6_16_Furniture_Consumer
Furniture,17 June 2019,Consumer,7,2019_6_17_Furniture_Consumer
Furniture,20 June 2019,Consumer,183,2019_6_20_Furniture_Consumer
Furniture,21 June 2019,Consumer,117,2019_6_21_Furniture_Consumer
Furniture,22 June 2019,Consumer,"1,004",2019_6_22_Furniture_Consumer
Furniture,24 June 2019,Consumer,4,2019_6_24_Furniture_Consumer
Furniture,25 June 2019,Corporate,470,2019_6_25_Furniture_Corporate
Furniture,27 June 2019,Consumer,86,2019_6_27_Furniture_Consumer
Furniture,28 June 2019,Consumer,"1,081",2019_6_28_Furniture_Consumer
Furniture,05 July 2019,Corporate,254,2019_7_5_Furniture_Corporate
Furniture,06 July 2019,Home Office,464,2019_7_6_Furniture_Home Office
Furniture,07 July 2019,Consumer,205,2019_7_7_Furniture_Consumer
Furniture,08 July 2019,Consumer,56,2019_7_8_Furniture_Consumer
Furniture,08 July 2019,Corporate,523,2019_7_8_Furniture_Corporate
Furniture,09 July 2019,Home Office,127,2019_7_9_Furniture_Home Office
Furniture,11 July 2019,Corporate,901,2019_7_11_Furniture_Corporate
Furniture,12 July 2019,Consumer,121,2019_7_12_Furniture_Consumer
Furniture,12 July 2019,Corporate,768,2019_7_12_Furniture_Corporate
Furniture,12 July 2019,Home Office,543,2019_7_12_Furniture_Home Office
Furniture,13 July 2019,Corporate,309,2019_7_13_Furniture_Corporate
Furniture,14 July 2019,Consumer,30,2019_7_14_Furniture_Consumer
Furniture,18 July 2019,Home Office,280,2019_7_18_Furniture_Home Office
Furniture,19 July 2019,Corporate,77,2019_7_19_Furniture_Corporate
Furniture,20 July 2019,Consumer,43,2019_7_20_Furniture_Consumer
Furniture,20 July 2019,Home Office,858,2019_7_20_Furniture_Home Office
Furniture,21 July 2019,Corporate,"1,819",2019_7_21_Furniture_Corporate
Furniture,22 July 2019,Consumer,773,2019_7_22_Furniture_Consumer
Furniture,25 July 2019,Consumer,69,2019_7_25_Furniture_Consumer
Furniture,26 July 2019,Consumer,800,2019_7_26_Furniture_Consumer
Furniture,28 July 2019,Consumer,129,2019_7_28_Furniture_Consumer
Furniture,30 July 2019,Corporate,"1,190",2019_7_30_Furniture_Corporate
Furniture,01 August 2019,Corporate,48,2019_8_1_Furniture_Corporate
Furniture,03 August 2019,Consumer,203,2019_8_3_Furniture_Consumer
Furniture,05 August 2019,Consumer,705,2019_8_5_Furniture_Consumer
Furniture,05 August 2019,Corporate,"1,179",2019_8_5_Furniture_Corporate
Furniture,08 August 2019,Consumer,520,2019_8_8_Furniture_Consumer
Furniture,08 August 2019,Home Office,48,2019_8_8_Furniture_Home Office
Furniture,11 August 2019,Consumer,12,2019_8_11_Furniture_Consumer
Furniture,12 August 2019,Consumer,80,2019_8_12_Furniture_Consumer
Furniture,15 August 2019,Consumer,193,2019_8_15_Furniture_Consumer
Furniture,16 August 2019,Consumer,725,2019_8_16_Furniture_Consumer
Furniture,19 August 2019,Consumer,600,2019_8_19_Furniture_Consumer
Furniture,19 August 2019,Corporate,318,2019_8_19_Furniture_Corporate
Furniture,20 August 2019,Consumer,379,2019_8_20_Furniture_Consumer
Furniture,20 August 2019,Corporate,440,2019_8_20_Furniture_Corporate
Furniture,23 August 2019,Consumer,4,2019_8_23_Furniture_Consumer
Furniture,24 August 2019,Corporate,12,2019_8_24_Furniture_Corporate
Furniture,25 August 2019,Corporate,6,2019_8_25_Furniture_Corporate
Furniture,26 August 2019,Consumer,9,2019_8_26_Furniture_Consumer
Furniture,27 August 2019,Corporate,"1,207",2019_8_27_Furniture_Corporate
Furniture,29 August 2019,Consumer,178,2019_8_29_Furniture_Consumer
Furniture,02 September 2019,Consumer,60,2019_9_2_Furniture_Consumer
Furniture,05 September 2019,Consumer,31,2019_9_5_Furniture_Consumer
Furniture,06 September 2019,Corporate,42,2019_9_6_Furniture_Corporate
Furniture,07 September 2019,Consumer,932,2019_9_7_Furniture_Consumer
Furniture,07 September 2019,Corporate,46,2019_9_7_Furniture_Corporate
Furniture,07 September 2019,Home Office,793,2019_9_7_Furniture_Home Office
Furniture,08 September 2019,Consumer,"3,720",2019_9_8_Furniture_Consumer
Furniture,08 September 2019,Home Office,169,2019_9_8_Furniture_Home Office
Furniture,09 September 2019,Consumer,17,2019_9_9_Furniture_Consumer
Furniture,09 September 2019,Corporate,684,2019_9_9_Furniture_Corporate
Furniture,09 September 2019,Home Office,66,2019_9_9_Furniture_Home Office
Furniture,10 September 2019,Consumer,"1,742",2019_9_10_Furniture_Consumer
Furniture,11 September 2019,Consumer,118,2019_9_11_Furniture_Consumer
Furniture,12 September 2019,Consumer,"3,899",2019_9_12_Furniture_Consumer
Furniture,12 September 2019,Home Office,35,2019_9_12_Furniture_Home Office
Furniture,13 September 2019,Consumer,16,2019_9_13_Furniture_Consumer
Furniture,13 September 2019,Home Office,330,2019_9_13_Furniture_Home Office
Furniture,14 September 2019,Consumer,552,2019_9_14_Furniture_Consumer
Furniture,14 September 2019,Corporate,10,2019_9_14_Furniture_Corporate
Furniture,15 September 2019,Consumer,15,2019_9_15_Furniture_Consumer
Furniture,15 September 2019,Corporate,106,2019_9_15_Furniture_Corporate
Furniture,17 September 2019,Consumer,35,2019_9_17_Furniture_Consumer
Furniture,19 September 2019,Corporate,836,2019_9_19_Furniture_Corporate
Furniture,20 September 2019,Consumer,"2,672",2019_9_20_Furniture_Consumer
Furniture,21 September 2019,Home Office,7,2019_9_21_Furniture_Home Office
Furniture,22 September 2019,Consumer,670,2019_9_22_Furniture_Consumer
Furniture,23 September 2019,Corporate,427,2019_9_23_Furniture_Corporate
Furniture,25 September 2019,Home Office,325,2019_9_25_Furniture_Home Office
Furniture,26 September 2019,Consumer,156,2019_9_26_Furniture_Consumer
Furniture,26 September 2019,Corporate,20,2019_9_26_Furniture_Corporate
Furniture,26 September 2019,Home Office,521,2019_9_26_Furniture_Home Office
Furniture,27 September 2019,Consumer,592,2019_9_27_Furniture_Consumer
Furniture,27 September 2019,Corporate,84,2019_9_27_Furniture_Corporate
Furniture,28 September 2019,Consumer,364,2019_9_28_Furniture_Consumer
Furniture,29 September 2019,Consumer,316,2019_9_29_Furniture_Consumer
Furniture,29 September 2019,Corporate,443,2019_9_29_Furniture_Corporate
Furniture,29 September 2019,Home Office,"2,331",2019_9_29_Furniture_Home Office
Furniture,30 September 2019,Corporate,14,2019_9_30_Furniture_Corporate
Furniture,03 October 2019,Consumer,293,2019_10_3_Furniture_Consumer
Furniture,03 October 2019,Corporate,242,2019_10_3_Furniture_Corporate
Furniture,04 October 2019,Consumer,637,2019_10_4_Furniture_Consumer
Furniture,07 October 2019,Home Office,125,2019_10_7_Furniture_Home Office
Furniture,10 October 2019,Home Office,157,2019_10_10_Furniture_Home Office
Furniture,11 October 2019,Consumer,438,2019_10_11_Furniture_Consumer
Furniture,11 October 2019,Corporate,10,2019_10_11_Furniture_Corporate
Furniture,11 October 2019,Home Office,69,2019_10_11_Furniture_Home Office
Furniture,13 October 2019,Consumer,"1,415",2019_10_13_Furniture_Consumer
Furniture,13 October 2019,Corporate,268,2019_10_13_Furniture_Corporate
Furniture,14 October 2019,Consumer,"1,678",2019_10_14_Furniture_Consumer
Furniture,15 October 2019,Consumer,193,2019_10_15_Furniture_Consumer
Furniture,17 October 2019,Consumer,5,2019_10_17_Furniture_Consumer
Furniture,18 October 2019,Corporate,"1,048",2019_10_18_Furniture_Corporate
Furniture,20 October 2019,Corporate,338,2019_10_20_Furniture_Corporate
Furniture,21 October 2019,Consumer,381,2019_10_21_Furniture_Consumer
Furniture,21 October 2019,Corporate,650,2019_10_21_Furniture_Corporate
Furniture,22 October 2019,Corporate,125,2019_10_22_Furniture_Corporate
Furniture,22 October 2019,Home Office,84,2019_10_22_Furniture_Home Office
Furniture,26 October 2019,Consumer,58,2019_10_26_Furniture_Consumer
Furniture,28 October 2019,Corporate,580,2019_10_28_Furniture_Corporate
Furniture,31 October 2019,Consumer,"1,962",2019_10_31_Furniture_Consumer
Furniture,31 October 2019,Corporate,"1,458",2019_10_31_Furniture_Corporate
Furniture,01 November 2019,Consumer,32,2019_11_1_Furniture_Consumer
Furniture,01 November 2019,Corporate,58,2019_11_1_Furniture_Corporate
Furniture,02 November 2019,Consumer,98,2019_11_2_Furniture_Consumer
Furniture,03 November 2019,Consumer,"1,220",2019_11_3_Furniture_Consumer
Furniture,04 November 2019,Consumer,615,2019_11_4_Furniture_Consumer
Furniture,04 November 2019,Home Office,117,2019_11_4_Furniture_Home Office
Furniture,05 November 2019,Consumer,428,2019_11_5_Furniture_Consumer
Furniture,05 November 2019,Home Office,18,2019_11_5_Furniture_Home Office
Furniture,07 November 2019,Consumer,745,2019_11_7_Furniture_Consumer
Furniture,09 November 2019,Consumer,238,2019_11_9_Furniture_Consumer
Furniture,09 November 2019,Home Office,52,2019_11_9_Furniture_Home Office
Furniture,10 November 2019,Consumer,683,2019_11_10_Furniture_Consumer
Furniture,11 November 2019,Consumer,"1,342",2019_11_11_Furniture_Consumer
Furniture,11 November 2019,Corporate,524,2019_11_11_Furniture_Corporate
Furniture,12 November 2019,Consumer,556,2019_11_12_Furniture_Consumer
Furniture,12 November 2019,Corporate,68,2019_11_12_Furniture_Corporate
Furniture,14 November 2019,Home Office,64,2019_11_14_Furniture_Home Office
Furniture,15 November 2019,Consumer,10,2019_11_15_Furniture_Consumer
Furniture,16 November 2019,Consumer,38,2019_11_16_Furniture_Consumer
Furniture,16 November 2019,Corporate,275,2019_11_16_Furniture_Corporate
Furniture,17 November 2019,Consumer,"4,153",2019_11_17_Furniture_Consumer
Furniture,17 November 2019,Corporate,122,2019_11_17_Furniture_Corporate
Furniture,17 November 2019,Home Office,509,2019_11_17_Furniture_Home Office
Furniture,18 November 2019,Consumer,894,2019_11_18_Furniture_Consumer
Furniture,18 November 2019,Corporate,"1,286",2019_11_18_Furniture_Corporate
Furniture,19 November 2019,Corporate,893,2019_11_19_Furniture_Corporate
Furniture,23 November 2019,Consumer,966,2019_11_23_Furniture_Consumer
Furniture,23 November 2019,Corporate,171,2019_11_23_Furniture_Corporate
Furniture,24 November 2019,Consumer,314,2019_11_24_Furniture_Consumer
Furniture,24 November 2019,Corporate,538,2019_11_24_Furniture_Corporate
Furniture,24 November 2019,Home Office,98,2019_11_24_Furniture_Home Office
Furniture,25 November 2019,Consumer,802,2019_11_25_Furniture_Consumer
Furniture,25 November 2019,Corporate,"1,336",2019_11_25_Furniture_Corporate
Furniture,25 November 2019,Home Office,284,2019_11_25_Furniture_Home Office
Furniture,26 November 2019,Consumer,19,2019_11_26_Furniture_Consumer
Furniture,27 November 2019,Corporate,218,2019_11_27_Furniture_Corporate
Furniture,28 November 2019,Corporate,382,2019_11_28_Furniture_Corporate
Furniture,28 November 2019,Home Office,411,2019_11_28_Furniture_Home Office
Furniture,01 December 2019,Consumer,"3,609",2019_12_1_Furniture_Consumer
Furniture,01 December 2019,Corporate,735,2019_12_1_Furniture_Corporate
Furniture,02 December 2019,Consumer,928,2019_12_2_Furniture_Consumer
Furniture,02 December 2019,Corporate,423,2019_12_2_Furniture_Corporate
Furniture,06 December 2019,Consumer,499,2019_12_6_Furniture_Consumer
Furniture,08 December 2019,Consumer,586,2019_12_8_Furniture_Consumer
Furniture,08 December 2019,Corporate,122,2019_12_8_Furniture_Corporate
Furniture,10 December 2019,Corporate,349,2019_12_10_Furniture_Corporate
Furniture,12 December 2019,Consumer,"4,555",2019_12_12_Furniture_Consumer
Furniture,13 December 2019,Corporate,193,2019_12_13_Furniture_Corporate
Furniture,14 December 2019,Consumer,278,2019_12_14_Furniture_Consumer
Furniture,15 December 2019,Consumer,793,2019_12_15_Furniture_Consumer
Furniture,15 December 2019,Corporate,468,2019_12_15_Furniture_Corporate
Furniture,16 December 2019,Consumer,92,2019_12_16_Furniture_Consumer
Furniture,16 December 2019,Corporate,"2,345",2019_12_16_Furniture_Corporate
Furniture,16 December 2019,Home Office,249,2019_12_16_Furniture_Home Office
Furniture,19 December 2019,Consumer,"1,601",2019_12_19_Furniture_Consumer
Furniture,20 December 2019,Consumer,976,2019_12_20_Furniture_Consumer
Furniture,20 December 2019,Corporate,188,2019_12_20_Furniture_Corporate
Furniture,20 December 2019,Home Office,"2,538",2019_12_20_Furniture_Home Office
Furniture,21 December 2019,Consumer,"1,651",2019_12_21_Furniture_Consumer
Furniture,23 December 2019,Consumer,56,2019_12_23_Furniture_Consumer
Furniture,23 December 2019,Corporate,47,2019_12_23_Furniture_Corporate
Furniture,24 December 2019,Consumer,28,2019_12_24_Furniture_Consumer
Furniture,24 December 2019,Corporate,257,2019_12_24_Furniture_Corporate
Furniture,24 December 2019,Home Office,26,2019_12_24_Furniture_Home Office
Furniture,26 December 2019,Consumer,3,2019_12_26_Furniture_Consumer
Furniture,26 December 2019,Corporate,712,2019_12_26_Furniture_Corporate
Furniture,26 December 2019,Home Office,583,2019_12_26_Furniture_Home Office
Furniture,27 December 2019,Consumer,468,2019_12_27_Furniture_Consumer
Furniture,27 December 2019,Home Office,783,2019_12_27_Furniture_Home Office
Furniture,29 December 2019,Consumer,40,2019_12_29_Furniture_Consumer
Furniture,29 December 2019,Corporate,102,2019_12_29_Furniture_Corporate
Furniture,29 December 2019,Home Office,9,2019_12_29_Furniture_Home Office
Furniture,30 December 2019,Corporate,482,2019_12_30_Furniture_Corporate
Furniture,31 December 2019,Corporate,"1,337",2019_12_31_Furniture_Corporate
Furniture,31 December 2019,Home Office,"1,041",2019_12_31_Furniture_Home Office
Furniture,02 January 2020,Corporate,434,2020_1_2_Furniture_Corporate
Furniture,03 January 2020,Consumer,"1,177",2020_1_3_Furniture_Consumer
Furniture,04 January 2020,Corporate,210,2020_1_4_Furniture_Corporate
Furniture,05 January 2020,Home Office,61,2020_1_5_Furniture_Home Office
Furniture,10 January 2020,Consumer,967,2020_1_10_Furniture_Consumer
Furniture,13 January 2020,Consumer,472,2020_1_13_Furniture_Consumer
Furniture,17 January 2020,Home Office,260,2020_1_17_Furniture_Home Office
Furniture,19 January 2020,Consumer,266,2020_1_19_Furniture_Consumer
Furniture,27 January 2020,Consumer,"2,807",2020_1_27_Furniture_Consumer
Furniture,28 January 2020,Consumer,"4,083",2020_1_28_Furniture_Consumer
Furniture,30 January 2020,Consumer,214,2020_1_30_Furniture_Consumer
Furniture,31 January 2020,Consumer,46,2020_1_31_Furniture_Consumer
Furniture,03 February 2020,Consumer,31,2020_2_3_Furniture_Consumer
Furniture,03 February 2020,Corporate,251,2020_2_3_Furniture_Corporate
Furniture,06 February 2020,Consumer,"1,460",2020_2_6_Furniture_Consumer
Furniture,09 February 2020,Consumer,216,2020_2_9_Furniture_Consumer
Furniture,09 February 2020,Corporate,35,2020_2_9_Furniture_Corporate
Furniture,18 February 2020,Consumer,33,2020_2_18_Furniture_Consumer
Furniture,27 February 2020,Corporate,504,2020_2_27_Furniture_Corporate
Furniture,28 February 2020,Consumer,474,2020_2_28_Furniture_Consumer
Furniture,01 March 2020,Corporate,"1,365",2020_3_1_Furniture_Corporate
Furniture,02 March 2020,Consumer,685,2020_3_2_Furniture_Consumer
Furniture,05 March 2020,Consumer,423,2020_3_5_Furniture_Consumer
Furniture,05 March 2020,Corporate,145,2020_3_5_Furniture_Corporate
Furniture,06 March 2020,Consumer,387,2020_3_6_Furniture_Consumer
Furniture,08 March 2020,Consumer,"1,852",2020_3_8_Furniture_Consumer
Furniture,12 March 2020,Corporate,39,2020_3_12_Furniture_Corporate
Furniture,13 March 2020,Consumer,143,2020_3_13_Furniture_Consumer
Furniture,13 March 2020,Home Office,"1,255",2020_3_13_Furniture_Home Office
Furniture,16 March 2020,Consumer,174,2020_3_16_Furniture_Consumer
Furniture,16 March 2020,Corporate,38,2020_3_16_Furniture_Corporate
Furniture,19 March 2020,Home Office,357,2020_3_19_Furniture_Home Office
Furniture,22 March 2020,Corporate,80,2020_3_22_Furniture_Corporate
Furniture,23 March 2020,Consumer,113,2020_3_23_Furniture_Consumer
Furniture,24 March 2020,Corporate,40,2020_3_24_Furniture_Corporate
Furniture,24 March 2020,Home Office,377,2020_3_24_Furniture_Home Office
Furniture,26 March 2020,Corporate,"3,631",2020_3_26_Furniture_Corporate
Furniture,29 March 2020,Consumer,17,2020_3_29_Furniture_Consumer
Furniture,29 March 2020,Home Office,"1,120",2020_3_29_Furniture_Home Office
Furniture,30 March 2020,Home Office,374,2020_3_30_Furniture_Home Office
Furniture,31 March 2020,Corporate,23,2020_3_31_Furniture_Corporate
Furniture,04 April 2020,Home Office,100,2020_4_4_Furniture_Home Office
Furniture,05 April 2020,Corporate,919,2020_4_5_Furniture_Corporate
Furniture,05 April 2020,Home Office,962,2020_4_5_Furniture_Home Office
Furniture,09 April 2020,Consumer,363,2020_4_9_Furniture_Consumer
Furniture,11 April 2020,Consumer,105,2020_4_11_Furniture_Consumer
Furniture,13 April 2020,Consumer,"1,508",2020_4_13_Furniture_Consumer
Furniture,13 April 2020,Corporate,41,2020_4_13_Furniture_Corporate
Furniture,16 April 2020,Consumer,"1,548",2020_4_16_Furniture_Consumer
Furniture,16 April 2020,Corporate,109,2020_4_16_Furniture_Corporate
Furniture,18 April 2020,Consumer,94,2020_4_18_Furniture_Consumer
Furniture,18 April 2020,Corporate,61,2020_4_18_Furniture_Corporate
Furniture,20 April 2020,Corporate,578,2020_4_20_Furniture_Corporate
Furniture,21 April 2020,Consumer,346,2020_4_21_Furniture_Consumer
Furniture,25 April 2020,Consumer,113,2020_4_25_Furniture_Consumer
Furniture,26 April 2020,Consumer,"1,514",2020_4_26_Furniture_Consumer
Furniture,26 April 2020,Corporate,66,2020_4_26_Furniture_Corporate
Furniture,27 April 2020,Consumer,"1,382",2020_4_27_Furniture_Consumer
Furniture,30 April 2020,Corporate,72,2020_4_30_Furniture_Corporate
Furniture,30 April 2020,Home Office,213,2020_4_30_Furniture_Home Office
Furniture,01 May 2020,Corporate,64,2020_5_1_Furniture_Corporate
Furniture,03 May 2020,Consumer,836,2020_5_3_Furniture_Consumer
Furniture,03 May 2020,Home Office,593,2020_5_3_Furniture_Home Office
Furniture,04 May 2020,Corporate,47,2020_5_4_Furniture_Corporate
Furniture,07 May 2020,Consumer,264,2020_5_7_Furniture_Consumer
Furniture,08 May 2020,Consumer,301,2020_5_8_Furniture_Consumer
Furniture,08 May 2020,Corporate,7,2020_5_8_Furniture_Corporate
Furniture,11 May 2020,Home Office,198,2020_5_11_Furniture_Home Office
Furniture,12 May 2020,Consumer,23,2020_5_12_Furniture_Consumer
Furniture,14 May 2020,Corporate,"1,235",2020_5_14_Furniture_Corporate
Furniture,20 May 2020,Consumer,155,2020_5_20_Furniture_Consumer
Furniture,23 May 2020,Home Office,69,2020_5_23_Furniture_Home Office
Furniture,24 May 2020,Consumer,518,2020_5_24_Furniture_Consumer
Furniture,25 May 2020,Home Office,13,2020_5_25_Furniture_Home Office
Furniture,26 May 2020,Consumer,208,2020_5_26_Furniture_Consumer
Furniture,29 May 2020,Corporate,394,2020_5_29_Furniture_Corporate
Furniture,31 May 2020,Consumer,"4,213",2020_5_31_Furniture_Consumer
Furniture,31 May 2020,Corporate,61,2020_5_31_Furniture_Corporate
Furniture,31 May 2020,Home Office,24,2020_5_31_Furniture_Home Office
Furniture,04 June 2020,Home Office,34,2020_6_4_Furniture_Home Office
Furniture,05 June 2020,Corporate,"1,294",2020_6_5_Furniture_Corporate
Furniture,08 June 2020,Corporate,182,2020_6_8_Furniture_Corporate
