Sample_20__2d__20_Orders_Categ_2e_seg_20_ID,Sample_20__2d__20_Orders_Order_20_Date,Sample_20__2d__20_Orders_Category,Sample_20__2d__20_Orders_Segment,Sample_20__2d__20_Orders_City,Sample_20__2d__20_Orders_Country_2f_Region,Sample_20__2d__20_Orders_Product_20_Name,Sample_20__2d__20_Orders_Region,Sample_20__2d__20_Orders_Ship_20_Date,Sample_20__2d__20_Orders_Ship_20_Mode,Sample_20__2d__20_Orders_Ship_20_Status,Sample_20__2d__20_Orders_State_2f_Province,Sample_20__2d__20_Orders_Sub_2d_Category,Sample_20__2d__20_Orders_Days_20_to_20_Ship_20_Actual,Sample_20__2d__20_Orders_Days_20_to_20_Ship_20_Scheduled,Sample_20__2d__20_Orders_Discount_2c__25_,Sample_20__2d__20_Orders_Profit_2c__24_,Sample_20__2d__20_Orders_Quantity,Sample_20__2d__20_Orders_Sales_2c__24_,Sample_20__2d__20_Orders_Sales_20_Forecast_2c__24_
2019_1_10_Furniture_Corporate,10 January 2019,Furniture,Corporate,Springfield,United States,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,15 January 2019,Standard Class,Shipped Early,Virginia,Furnishings,5,6,0,21,1,52,78
2019_1_10_Office Supplies_Corporate,10 January 2019,Office Supplies,Corporate,Springfield,United States,Avery 482,South,15 January 2019,Standard Class,Shipped Early,Virginia,Labels,5,6,0,1,1,3,4
2019_1_11_Furniture_Consumer,11 January 2019,Furniture,Consumer,Dover,United States,"DAX Value U-Channel Document Frames, Easel Back",East,14 January 2019,First Class,Shipped Late,Delaware,Furnishings,3,1,0,3,2,10,15
2019_1_13_Furniture_Consumer,13 January 2019,Furniture,Consumer,Mount Pleasant,United States,Global Highback Leather Tilter in Burgundy,South,16 January 2019,Second Class,Shipped On Time,South Carolina,Chairs,3,3,0,87,6,546,818
2019_1_13_Furniture_Consumer,13 January 2019,Furniture,Consumer,San Francisco,United States,"O'Sullivan Elevations Bookcase, Cherry Finish",West,18 January 2019,Standard Class,Shipped Early,California,Bookcases,5,6,15,4,3,334,500
2019_1_13_Office Supplies_Consumer,13 January 2019,Office Supplies,Consumer,Newark,United States,Avery Metallic Poly Binders,East,18 January 2019,Standard Class,Shipped Early,Ohio,Binders,5,6,70,3,2,3,5
2019_1_13_Office Supplies_Consumer,13 January 2019,Office Supplies,Consumer,Newark,United States,Xerox 1923,East,18 January 2019,Standard Class,Shipped Early,Ohio,Paper,5,6,20,13,7,37,56
2019_1_13_Office Supplies_Consumer,13 January 2019,Office Supplies,Consumer,San Francisco,United States,4009 Highlighters by Sanford,West,18 January 2019,Standard Class,Shipped Early,California,Art,5,6,0,7,5,20,30
2019_1_13_Office Supplies_Consumer,13 January 2019,Office Supplies,Consumer,San Francisco,United States,Tennsco 6- and 18-Compartment Lockers,West,18 January 2019,Standard Class,Shipped Early,California,Storage,5,6,0,239,5,"1,326",1986
2019_1_13_Office Supplies_Corporate,13 January 2019,Office Supplies,Corporate,Bossier City,United States,3-ring staple pack,South,15 January 2019,Second Class,Shipped Early,Louisiana,Binders,2,3,0,3,3,6,8
2019_1_13_Office Supplies_Corporate,13 January 2019,Office Supplies,Corporate,Bossier City,United States,Brown Kraft Recycled Envelopes,South,15 January 2019,Second Class,Shipped Early,Louisiana,Envelopes,2,3,0,25,3,51,76
2019_1_13_Office Supplies_Corporate,13 January 2019,Office Supplies,Corporate,Bossier City,United States,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,15 January 2019,Second Class,Shipped Early,Louisiana,Storage,2,3,0,34,6,573,857
2019_1_13_Office Supplies_Corporate,13 January 2019,Office Supplies,Corporate,Bossier City,United States,Staple envelope,South,15 January 2019,Second Class,Shipped Early,Louisiana,Envelopes,2,3,0,5,2,11,17
2019_1_13_Technology_Corporate,13 January 2019,Technology,Corporate,Bossier City,United States,Plantronics S12 Corded Telephone Headset System,South,15 January 2019,Second Class,Shipped Early,Louisiana,Accessories,2,3,0,259,6,647,969
2019_1_14_Furniture_Corporate,14 January 2019,Furniture,Corporate,Philadelphia,United States,Sauder Cornerstone Collection Library,East,15 January 2019,First Class,Shipped On Time,Pennsylvania,Bookcases,1,1,50,53,4,62,93
2019_1_15_Technology_Consumer,15 January 2019,Technology,Consumer,Roswell,United States,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,17 January 2019,First Class,Shipped Late,Georgia,Accessories,2,1,0,66,5,150,225
2019_1_16_Furniture_Consumer,16 January 2019,Furniture,Consumer,Philadelphia,United States,DAX Black Cherry Wood-Tone Poster Frame,East,18 January 2019,Second Class,Shipped Early,Pennsylvania,Furnishings,2,3,20,29,6,127,190
2019_1_16_Office Supplies_Consumer,16 January 2019,Office Supplies,Consumer,Philadelphia,United States,GBC Linen Binding Covers,East,18 January 2019,Second Class,Shipped Early,Pennsylvania,Binders,2,3,70,14,2,19,28
2019_1_16_Office Supplies_Consumer,16 January 2019,Office Supplies,Consumer,Philadelphia,United States,Round Specialty Laser Printer Labels,East,18 January 2019,Second Class,Shipped Early,Pennsylvania,Labels,2,3,20,10,3,30,45
2019_1_16_Technology_Consumer,16 January 2019,Technology,Consumer,Philadelphia,United States,AT&T 841000 Phone,East,18 January 2019,Second Class,Shipped Early,Pennsylvania,Phones,2,3,40,31,3,124,186
